query_id,category,status,routing_success,expected_sequence_success,tool_calls,successful_tools,invalid_tools,recommendations,raw_fully_grounded,raw_validation_errors,delivered_fully_grounded,constraint_query,constrained_recommendations,constraint_valid_recommendations,constraint_query_answered_correctly,unsupported_query,unsupported_acknowledged,api_calls,cache_hits,total_ms,retrieval_ms,all_tools_ms,llm_wall_ms,llm_api_ms
agent_01,text_lexical,abstained,True,True,4,4,0,0,False,0,False,True,0,0,False,False,False,1,0,2320.0376669992693,2.075499971397221,2.4332499597221613,2315.5025839805603,2312.7243330236524
agent_02,text_lexical,answered,True,True,3,3,0,1,True,0,True,True,1,1,True,False,False,2,0,4432.385666994378,1.1421670205891132,1.3450009864754975,4429.432832985185,4426.463375042658
agent_03,text_lexical,answered,True,True,3,3,0,1,True,0,True,True,1,1,True,False,False,2,0,3354.402667027898,2.3257919820025563,2.5525419623591006,3349.299792025704,3345.7086669513956
agent_04,text_lexical,answered,True,True,3,3,0,1,True,0,True,True,1,1,True,False,False,2,0,2426.111334003508,1.9268749747425318,2.208291960414499,2420.8162909490056,2416.5322920307517
agent_05,text_lexical,answered,True,True,3,3,0,1,True,0,True,True,1,1,True,False,False,2,0,3990.555291995406,1.8186250235885382,2.091748989187181,3985.8207490178756,3981.489458004944
agent_06,text_lexical,answered,True,True,3,3,0,1,True,0,True,True,1,1,True,False,False,2,0,2351.06541600544,2.387624990660697,2.6134999934583902,2345.209958963096,2340.4839169816114
agent_07,text_semantic,answered,False,False,3,3,0,2,True,0,True,False,0,0,False,False,False,2,0,3075.1572499866597,1.6703750006854534,1.7231249948963523,3070.5975009477697,3066.127124999184
agent_08,text_semantic,answered,False,False,5,5,0,1,True,0,True,False,0,0,False,False,False,2,0,2138.0856249597855,2.517875051125884,2.7464161394163966,2132.864916929975,2126.6018750029616
agent_09,text_semantic,answered,False,False,3,3,0,3,True,0,True,False,0,0,False,False,False,2,0,3679.823625017889,1.4427080168388784,1.5179990441538393,3676.2984580127522,3672.648041974753
agent_10,text_semantic,answered,False,False,2,2,0,1,True,0,True,False,0,0,False,False,False,2,0,2105.649624951184,2.2725420421920717,2.284292015247047,2100.9172489866614,2096.7015830101445
agent_11,text_semantic,answered,False,False,5,5,0,1,True,0,True,False,0,0,False,False,False,2,0,2389.911584032234,3.0882920254953206,3.265625040512532,2384.192915982567,2380.2339989924803
agent_12,text_semantic,abstained,False,False,3,3,0,0,False,0,False,False,0,0,False,False,False,2,0,1999.6565830078907,3.4885419881902635,3.6791249294765294,1993.673624994699,1985.9858749550767
agent_13,image_similarity,error,False,False,0,0,0,0,False,0,False,False,0,0,False,False,False,1,0,840.8882910152897,0,0,839.2501659691334,836.9899999815971
agent_14,image_similarity,error,False,False,0,0,0,0,False,0,False,False,0,0,False,False,False,0,1,1.044958014972508,0,0,0.4663339932449162,0
agent_15,image_similarity,error,False,False,0,0,0,0,False,0,False,False,0,0,False,False,False,0,1,0.3527089720591903,0,0,0.17483398551121354,0
agent_16,image_similarity,error,False,False,0,0,0,0,False,0,False,False,0,0,False,False,False,0,1,0.27595803840085864,0,0,0.1532500027678907,0
agent_17,image_similarity,error,False,False,0,0,0,0,False,0,False,False,0,0,False,False,False,0,1,0.22858299780637026,0,0,0.12929097283631563,0
agent_18,image_similarity,error,False,False,0,0,0,0,False,0,False,False,0,0,False,False,False,0,1,0.35683298483490944,0,0,0.21104200277477503,0
agent_19,image_plus_filter,answered,True,True,4,4,0,1,True,0,True,True,1,1,True,False,False,2,0,3329.738540982362,86.58787503372878,86.81058214278892,3240.5825419700705,3233.8579159695655
agent_20,image_plus_filter,answered,True,True,4,4,0,2,True,0,True,True,2,2,True,False,False,2,0,3146.5547080151737,42.8195419954136,43.10496000107378,3100.9262909647077,3096.709999954328
agent_21,image_plus_filter,abstained,True,True,2,2,0,0,False,0,False,True,0,0,False,False,False,1,0,1108.6570840561762,38.79437502473593,38.978041033260524,1068.6099589802325,1067.305792006664
agent_22,image_plus_filter,error,True,True,3,3,0,0,False,1,False,True,0,0,False,False,False,2,0,2320.6699999864213,24.315332993865013,24.620541953481734,2293.3507070410997,2288.9022920280695
agent_23,image_plus_filter,answered,True,True,4,4,0,1,True,0,True,True,1,1,True,False,False,2,0,2856.9112090044655,39.370707992929965,39.606581965927035,2815.1515420759097,2810.7007509679534
agent_24,image_plus_filter,abstained,True,True,2,2,0,0,False,0,False,True,0,0,False,False,False,1,0,1280.487791984342,38.93524996237829,39.15304195834324,1239.6865829941817,1237.6136669772677
agent_25,comparison,answered,True,True,6,6,0,3,True,0,True,True,3,3,True,True,True,2,0,3923.202499980107,2.8820420266129076,3.1689589377492666,3917.661832005251,3910.360625013709
agent_26,comparison,answered,True,True,6,6,0,3,True,0,True,True,3,3,True,False,False,2,0,2748.1774580082856,2.657748991623521,2.893207943998277,2743.1277500581928,2739.1371249686927
agent_27,comparison,answered,True,True,4,4,0,1,True,0,True,True,1,1,True,False,False,2,0,2180.136915994808,1.883333025034517,2.008959010709077,2175.7652510423213,2172.04437404871
agent_28,comparison,answered,True,True,4,4,0,2,True,0,True,True,2,2,True,False,False,2,0,2514.601125032641,1.389582990668714,1.5019579441286623,2510.460166959092,2506.433416972868
agent_29,comparison,abstained,True,True,3,3,0,0,False,0,False,True,0,0,False,False,False,2,0,1967.882124998141,1.4008330181241035,1.4976650127209723,1964.0071670291945,1959.8572080140002
agent_30,comparison,answered,True,True,6,6,0,1,True,0,True,True,1,1,True,True,True,2,0,3126.490583003033,2.5892509729601443,2.8375000110827386,3121.729291975498,3118.8075409736484
agent_31,unsupported_constraint,answered,True,True,3,3,0,3,True,0,True,True,3,3,True,True,True,2,0,3474.6458329609595,1.654541993048042,1.723624940495938,3470.566875068471,3466.208456957247
agent_32,unsupported_constraint,abstained,True,True,3,3,0,0,False,0,False,True,0,0,False,True,True,2,0,1965.4347500181757,0.983084028121084,1.0609590681269765,1962.2929999604821,1959.8657910246402
agent_33,unsupported_constraint,answered,True,True,3,3,0,3,True,0,True,True,3,3,True,True,True,2,0,4065.5350839952007,1.726499991491437,1.8070840160362422,4061.4780000178143,4056.8354160059243
agent_34,unsupported_constraint,answered,True,True,3,3,0,3,True,0,True,True,3,3,True,True,True,2,0,4408.8887920370325,1.7532089841552079,1.803915947675705,4404.552416992374,4397.07629091572
agent_35,unsupported_constraint,answered,True,True,3,3,0,2,True,0,True,True,2,2,True,True,True,2,0,3334.705125016626,1.621584000531584,1.6738339909352362,3330.5674589937553,3323.404207942076
agent_36,unsupported_constraint,answered,True,True,3,3,0,3,True,0,True,True,3,3,True,True,True,2,0,16631.431957997847,1.6075419844128191,1.6814999398775399,16627.378833014518,16622.904415999074
