query_id,category,status,routing_success,expected_sequence_success,tool_calls,successful_tools,invalid_tools,recommendations,raw_fully_grounded,raw_validation_errors,delivered_fully_grounded,constraint_query,constrained_recommendations,constraint_valid_recommendations,constraint_query_answered_correctly,unsupported_query,unsupported_acknowledged,api_calls,cache_hits,total_ms,retrieval_ms,all_tools_ms,llm_wall_ms,llm_api_ms
agent_01,text_lexical,abstained,True,True,4,4,0,0,False,0,False,True,0,0,False,False,False,0,1,2.401124977041036,0.947625027038157,1.1038329685106874,0.3459160216152668,0
agent_02,text_lexical,answered,True,True,3,3,0,1,True,0,True,True,1,1,True,False,False,0,2,1.076541026122868,0.32354099676012993,0.39141601882874966,0.4770000232383609,0
agent_03,text_lexical,answered,True,True,3,3,0,1,True,0,True,True,1,1,True,False,False,0,2,0.9883329621516168,0.39950001519173384,0.45629095984622836,0.43616798939183354,0
agent_04,text_lexical,answered,True,True,3,3,0,1,True,0,True,True,1,1,True,False,False,0,2,1.0458340402692556,0.4164999700151384,0.5156249389983714,0.43579202610999346,0
agent_05,text_lexical,abstained,True,True,4,4,0,0,False,0,False,True,0,0,False,False,False,0,1,1.0887919925153255,0.6278330110944808,0.7672919891774654,0.2285839873366058,0
agent_06,text_lexical,answered,True,True,3,3,0,1,True,0,True,True,1,1,True,False,False,0,2,1.7694580019451678,0.4550419980660081,0.5348339909687638,1.111874997150153,0
agent_07,text_semantic,answered,True,True,3,3,0,2,True,0,True,False,0,0,False,False,False,0,2,11.498958978336304,10.765958984848112,10.842917021363974,0.5456249928101897,0
agent_08,text_semantic,abstained,True,True,4,4,0,0,False,0,False,False,0,0,False,False,False,0,1,10.562708019278944,10.112999996636063,10.20116696599871,0.20395900355651975,0
agent_09,text_semantic,answered,True,True,3,3,0,3,True,0,True,False,0,0,False,False,False,0,2,7.113082974683493,6.284125032834709,6.369417067617178,0.5767080001533031,0
agent_10,text_semantic,answered,True,True,2,2,0,2,True,0,True,False,0,0,False,False,False,0,2,7.811249990481883,7.0541249588131905,7.056958973407745,0.5835830233991146,0
agent_11,text_semantic,answered,True,True,3,3,0,1,True,0,True,False,0,0,False,False,False,0,2,7.4155000038445,6.652999960351735,6.729124928824604,0.5280410405248404,0
agent_12,text_semantic,abstained,True,True,3,3,0,0,False,0,False,False,0,0,False,False,False,0,2,8.145041996613145,7.383999996818602,7.457083964254707,0.5300000193528831,0
agent_13,image_similarity,error,True,True,2,2,0,0,False,2,False,False,0,0,False,False,False,0,2,64.87141695106402,64.01679199188948,64.0209999983199,0.6570839905180037,0
agent_14,image_similarity,answered,True,True,3,3,0,3,True,0,True,False,0,0,False,False,False,0,2,11.657499999273568,10.798958013765514,10.809875035192817,0.5930000334046781,0
agent_15,image_similarity,error,True,True,2,2,0,0,False,1,False,False,0,0,False,False,False,0,2,10.324375005438924,9.550291986670345,9.553499985486269,0.5614990368485451,0
agent_16,image_similarity,answered,True,True,3,3,0,3,True,0,True,False,0,0,False,False,False,0,2,10.619374981615692,9.806999994907528,9.817333018872887,0.532749982085079,0
agent_17,image_similarity,answered,True,True,3,3,0,3,True,0,True,False,0,0,False,False,False,0,2,11.245583009440452,10.46508300350979,10.473375034052879,0.554832979105413,0
agent_18,image_similarity,answered,True,True,3,3,0,3,True,0,True,False,0,0,False,False,False,0,2,10.651874996256083,9.902207995764911,9.911165980156511,0.5250839749351144,0
agent_19,image_plus_filter,answered,True,True,4,4,0,1,True,0,True,True,1,1,True,False,False,0,2,9.959208022337407,8.883750007953495,9.032624016981572,0.6858750130049884,0
agent_20,image_plus_filter,answered,True,True,4,4,0,2,True,0,True,True,2,2,True,False,False,0,2,10.489291977137327,9.491334029007703,9.64737602043897,0.6331260083243251,0
agent_21,image_plus_filter,answered,True,True,4,4,0,1,True,0,True,True,1,1,True,False,False,0,2,11.803499946836382,10.859291011001915,10.980915976688266,0.614207936450839,0
